,file,page,question,score,target,len_question,qst_words,qst_clean,len_qst_cln,year,flag_what_meant,qst_tokenised,tokens_without_punctuationa,tokens_lemm,tokens_lst
0,Question Paper - Unit 1 (WBS11) - January 2021.pdf,2,Define the term ‘brand’ .,2,marketing mix and strategy,25,"['Define', 'the', 'term', '‘brand’', '.']",define term ‘brand’ .,21,2021,0,"['define', 'term', '‘', 'brand', '’', '.']","['define', 'term', 'brand']","['define', 'term', 'brand']",define term brand
1,Question Paper - Unit 1 (WBS11) - January 2021.pdf,2,Explain one risk Jack Ma may have taken when setting up the Alibaba Group.,4,entrepreneurs and leaders,74,"['Explain', 'one', 'risk', 'Jack', 'Ma', 'may', 'have', 'taken', 'when', 'setting', 'up', 'the', 'Alibaba', 'Group.']",explain one risk jack ma may taken setting alibaba group.,57,2021,0,"['explain', 'one', 'risk', 'jack', 'ma', 'may', 'taken', 'setting', 'alibaba', 'group', '.']","['explain', 'one', 'risk', 'jack', 'ma', 'may', 'taken', 'setting', 'alibaba', 'group']","['explain', 'one', 'risk', 'jack', 'ma', 'may', 'take', 'set', 'alibaba', 'group']",explain one risk jack ma may taken setting alibaba group
2,Question Paper - Unit 1 (WBS11) - January 2021.pdf,3,Analyse two factors that may have increased demand for the Alibaba Group.,6,the market,73,"['Analyse', 'two', 'factors', 'that', 'may', 'have', 'increased', 'demand', 'for', 'the', 'Alibaba', 'Group.']",analyse two factors may increased demand alibaba group.,55,2021,0,"['analyse', 'two', 'factors', 'may', 'increased', 'demand', 'alibaba', 'group', '.']","['analyse', 'two', 'factors', 'may', 'increased', 'demand', 'alibaba', 'group']","['analyse', 'two', 'factor', 'may', 'increase', 'demand', 'alibaba', 'group']",analyse two factors may increased demand alibaba group
3,Question Paper - Unit 1 (WBS11) - January 2021.pdf,4,Discuss if profit maximisation is the main business objective of the Alibaba Group.,8,entrepreneurs and leaders,83,"['Discuss', 'if', 'profit', 'maximisation', 'is', 'the', 'main', 'business', 'objective', 'of', 'the', 'Alibaba', 'Group.']",discuss profit maximisation main business objective alibaba group.,66,2021,0,"['discuss', 'profit', 'maximisation', 'main', 'business', 'objective', 'alibaba', 'group', '.']","['discuss', 'profit', 'maximisation', 'main', 'business', 'objective', 'alibaba', 'group']","['discus', 'profit', 'maximisation', 'main', 'business', 'objective', 'alibaba', 'group']",discuss profit maximisation main business objective alibaba group
4,Question Paper - Unit 1 (WBS11) - January 2021.pdf,5,Assess the advantages of a paternalistic style of leadership for a business such as the Alibaba Group.,10,managing people,102,"['Assess', 'the', 'advantages', 'of', 'a', 'paternalistic', 'style', 'of', 'leadership', 'for', 'a', 'business', 'such', 'as', 'the', 'Alibaba', 'Group.']",assess advantages paternalistic style leadership business alibaba group.,72,2021,0,"['assess', 'advantages', 'paternalistic', 'style', 'leadership', 'business', 'alibaba', 'group', '.']","['assess', 'advantages', 'paternalistic', 'style', 'leadership', 'business', 'alibaba', 'group']","['assess', 'advantage', 'paternalistic', 'style', 'leadership', 'business', 'alibaba', 'group']",assess advantages paternalistic style leadership business alibaba group
5,Question Paper - Unit 1 (WBS11) - January 2021.pdf,7,Define the term ‘product innovation’ .,2,meeting customer needs,38,"['Define', 'the', 'term', '‘product', 'innovation’', '.']",define term ‘product innovation’ .,34,2021,0,"['define', 'term', '‘', 'product', 'innovation', '’', '.']","['define', 'term', 'product', 'innovation']","['define', 'term', 'product', 'innovation']",define term product innovation
6,Question Paper - Unit 1 (WBS11) - January 2021.pdf,7,"If Nintendo reduces its console prices by 8%, calculate the estimated percentage change in demand. You are advised to show your working.",4,the market,136,"['If', 'Nintendo', 'reduces', 'its', 'console', 'prices', 'by', '8%,', 'calculate', 'the', 'estimated', 'percentage', 'change', 'in', 'demand.', 'You', 'are', 'advised', 'to', 'show', 'your', 'working.']","nintendo reduces console prices 8%, calculate estimated percentage change demand. you advised show working.",107,2021,0,"['nintendo', 'reduces', 'console', 'prices', '8', '%', ',', 'calculate', 'estimated', 'percentage', 'change', 'demand', '.', 'you', 'advised', 'show', 'working', '.']","['nintendo', 'reduces', 'console', 'prices', '8', 'calculate', 'estimated', 'percentage', 'change', 'demand', 'you', 'advised', 'show', 'working']","['nintendo', 'reduce', 'console', 'price', '8', 'calculate', 'estimate', 'percentage', 'change', 'demand', 'you', 'advise', 'show', 'work']",nintendo reduces console prices 8 calculate estimated percentage change demand you advised show working
7,Question Paper - Unit 1 (WBS11) - January 2021.pdf,8,Analyse two different pricing strategies that Nintendo might use to compete in the games console industry.,6,marketing mix and strategy,106,"['Analyse', 'two', 'different', 'pricing', 'strategies', 'that', 'Nintendo', 'might', 'use', 'to', 'compete', 'in', 'the', 'games', 'console', 'industry.']",analyse two different pricing strategies nintendo might use compete games console industry.,91,2021,0,"['analyse', 'two', 'different', 'pricing', 'strategies', 'nintendo', 'might', 'use', 'compete', 'games', 'console', 'industry', '.']","['analyse', 'two', 'different', 'pricing', 'strategies', 'nintendo', 'might', 'use', 'compete', 'games', 'console', 'industry']","['analyse', 'two', 'different', 'price', 'strategy', 'nintendo', 'might', 'use', 'compete', 'game', 'console', 'industry']",analyse two different pricing strategies nintendo might use compete games console industry
8,Question Paper - Unit 1 (WBS11) - January 2021.pdf,9,Discuss how the Boston Matrix may help companies such as Nintendo develop their product portfolio.,8,marketing mix and strategy,98,"['Discuss', 'how', 'the', 'Boston', 'Matrix', 'may', 'help', 'companies', 'such', 'as', 'Nintendo', 'develop', 'their', 'product', 'portfolio.']",discuss boston matrix may help companies nintendo develop product portfolio.,76,2021,0,"['discuss', 'boston', 'matrix', 'may', 'help', 'companies', 'nintendo', 'develop', 'product', 'portfolio', '.']","['discuss', 'boston', 'matrix', 'may', 'help', 'companies', 'nintendo', 'develop', 'product', 'portfolio']","['discus', 'boston', 'matrix', 'may', 'help', 'company', 'nintendo', 'develop', 'product', 'portfolio']",discuss boston matrix may help companies nintendo develop product portfolio
9,Question Paper - Unit 1 (WBS11) - January 2021.pdf,10,Assess the benefits of a matrix organisational structure for a business such as Nintendo.,10,managing people,89,"['Assess', 'the', 'benefits', 'of', 'a', 'matrix', 'organisational', 'structure', 'for', 'a', 'business', 'such', 'as', 'Nintendo.']",assess benefits matrix organisational structure business nintendo.,66,2021,0,"['assess', 'benefits', 'matrix', 'organisational', 'structure', 'business', 'nintendo', '.']","['assess', 'benefits', 'matrix', 'organisational', 'structure', 'business', 'nintendo']","['assess', 'benefit', 'matrix', 'organisational', 'structure', 'business', 'nintendo']",assess benefits matrix organisational structure business nintendo
